port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Abbot Point,Australia,Australia,-19.86347273048479,148.08574855224262,3681314199.888782,46231.45136470212,43688.38043612891,5912.148225588947,103838.04158416462,coastal
Abenra,Denmark,Northern-Europe,55.03613674896311,9.4328687515463,8376747.406295406,135193.71057321338,130875.1063593998,60546.96617481424,233521.95228354025,coastal
Aberdeen,U.S.A.,North-America,46.95740684544593,-123.84900253523408,1483769822.226669,634409.4638875904,627939.2764197721,446145.9673770731,844941.1539631052,coastal
Aberdeen,United Kingdom,Western-Europe,57.13970754858299,-2.071933161301114,4004148945.548536,109730.42458493893,107857.34491025674,71904.56954586574,154741.67053339427,coastal
Abidjan,Cote d'Ivoire,Africa,5.281131862318626,-4.02121100946266,12251324078.81066,0.0,0.0,0.0,0.0,coastal
Abu Zaby,United Arab Emirates,Middle-East,24.50828406031388,54.49529187527073,29610651831.43484,916630.8825675409,899303.2583767325,10171.485387965042,2096679.4723838803,coastal
Acajutla,El Salvador,Latin-America,13.576548729013748,-89.836482133761,5253653122.459703,11348.689535969268,10593.139378355612,131.69231775191636,25299.927153865865,coastal
Acapulco,Mexico,Latin-America,16.835825834203092,-99.87665273945912,741586286.403381,427.5500176432728,60.63003862083075,0.0,1591.5200421525071,coastal
Aden,Yemen,Middle-East,12.804423036346144,44.95385819790221,4941006685.31741,363798.8611912861,378238.62734027265,2087.117900066377,743474.0543283833,coastal
Agadir,Morocco,Africa,30.423327619276023,-9.640954132616516,2812735390.14828,1093755.5817957576,970228.9072670212,475334.8174344166,1970543.5175499583,coastal
Ahus,Sweden,Northern-Europe,55.9281476828496,14.323414129865048,1228976.6093200515,237603.92535487935,230444.4700359736,124857.42947518211,372542.63326397043,coastal
Aiyion,Greece,Mediterranean,38.33475387391774,21.846493838096944,685651.6495234759,346.78502481449584,304.5683154490256,0.0,1017.201572322427,coastal
Ajman,United Arab Emirates,Middle-East,25.42311078880692,55.45156842093279,3279964.2813337897,25339.829895418774,7346.186042384501,0.0,81113.14339189531,coastal
Akita-Funakawa Ko,Japan,Asia,39.7625318482917,140.0525074687916,1812829464.9344404,883.6159383817694,116.66369373730284,0.0,3120.051431881421,coastal
Ako,Japan,Asia,34.738439552888686,134.375873722863,206741183.9550199,36538.66526739477,34998.513901668935,20650.40293249787,55041.330421748666,coastal
Akureyri,Iceland,Northern-Europe,65.69586227498087,-18.07839303021677,864282098.09298,108886.79695208621,1433.9239286079676,0.0,414969.54718866444,coastal
Al Ahmadi,Yemen,Middle-East,14.861116019377846,42.93012040605359,2685093055.1485147,0.0,0.0,0.0,0.0,coastal
Al Aqabah,Jordan,Middle-East,29.45247434218913,34.98133433410047,18087103759.731583,0.0,0.0,0.0,0.0,coastal
Al Basrah,Iraq,Middle-East,30.525046506746936,47.841177870216015,3401004.423212985,0.0,0.0,0.0,0.0,coastal
Al Burayqah,Libya,Africa,30.41461514978097,19.594087391156314,972980216.8202348,44.403108709215964,0.0,0.0,172.57999545350307,coastal
Al Hamriyah LPG Terminal,United Arab Emirates,Middle-East,25.47263067270494,55.49724762578011,5027992390.727257,29402.879235399556,0.0,0.0,101653.4611260742,coastal
Al Iskandariyh (Alexandria),Egypt,Africa,31.163581730234423,29.836444842191625,32152063143.83327,0.0,0.0,0.0,0.0,coastal
Al Jubayl,Saudi Arabia,Middle-East,27.049542718233543,49.68607374636832,39747662884.48353,116978.68594485613,0.0,0.0,501219.4026001372,coastal
Al Kuwayt,Kuwait,Middle-East,29.35477517146509,47.93272475961702,10114731531.607786,7898.930568075647,8040.870580109418,3082.291328774286,13018.3161071179,coastal
Al Ladhiqiyah,Syria,Middle-East,35.530274738611745,35.76567246143961,4213954360.5244513,0.0,0.0,0.0,0.0,coastal
Al Mukalla,Yemen,Middle-East,14.521045723797029,49.15314874529035,533232089.179051,43268.512642600675,0.0,0.0,161021.4547079267,coastal
Albany,Australia,Australia,-35.04071054851423,117.89734746911876,1238921126.939451,13439.876275979143,3621.598064983563,0.0,41719.5919310469,coastal
Alborg,Denmark,Northern-Europe,57.05683243550648,9.94930922442777,2496801387.791015,0.0,0.0,0.0,0.0,coastal
Alesund,Norway,Northern-Europe,62.471533880838486,6.167929515082579,650648699.8305849,299771.22171863314,298562.84577821544,120104.60913692816,492094.50194955064,coastal
Algeciras,Spain,Mediterranean,36.15680617658855,-5.419140859532775,25441103317.038124,65608.45174706612,18415.000072086907,0.0,207540.2517601485,coastal
Alger,Algeria,Africa,36.76863601010422,3.069702610231199,7932577483.047757,0.0,0.0,0.0,0.0,coastal
Aliaga,Turkey,Mediterranean,38.81915416572643,26.9508709797542,2157796430.384777,62867.87343566661,38051.95408371181,8103.614971317187,160843.0963740786,coastal
Alicante,Spain,Mediterranean,38.33102466328418,-0.492673759427888,667637959.2422917,0.0,0.0,0.0,0.0,coastal
Almeria,Spain,Mediterranean,36.8312669051332,-2.471662890355661,911564206.553674,0.0,0.0,0.0,0.0,coastal
Alofi,Niue,Oceania,-19.045917512159544,-169.9314607121994,5719887.846545455,17.71776888291134,0.0,0.0,73.77185235943409,coastal
Alotoa,Papua New Guinea,Oceania,-10.323492598056571,150.44893588107448,309763689.31365794,0.0,0.0,0.0,0.0,coastal
Altamira,Mexico,Latin-America,22.47789806882248,-97.86425293390072,22085649610.391617,112.06941983179148,0.0,0.0,416.5546951905207,coastal
Alvika,Norway,Northern-Europe,62.47958124215767,6.372233511680491,218626.87322290745,451442.1094766381,443941.11051791697,177199.64942959783,753048.5499590212,coastal
