port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Abbot Point,Australia,Australia,-19.86347273048479,148.08574855224262,3681314199.888782,211.79498454891038,0.0,0.0,0.0,earthquake
Abenra,Denmark,Northern-Europe,55.03613674896311,9.4328687515463,8376747.406295406,244.99912472781992,0.0,0.0,0.0,earthquake
Aberdeen,U.S.A.,North-America,46.95740684544593,-123.84900253523408,1483769822.226669,35081.9070035282,0.0,0.0,216960.271081672,earthquake
Aberdeen,United Kingdom,Western-Europe,57.13970754858299,-2.071933161301114,4004148945.548536,422.32702246987867,0.0,0.0,0.0,earthquake
Abidjan,Cote d'Ivoire,Africa,5.281131862318626,-4.02121100946266,12251324078.81066,0.0,0.0,0.0,0.0,earthquake
Abu Zaby,United Arab Emirates,Middle-East,24.50828406031388,54.49529187527073,29610651831.43484,172159.23064033082,0.0,0.0,1546150.7935373825,earthquake
Acajutla,El Salvador,Latin-America,13.576548729013748,-89.836482133761,5253653122.459703,395785.2220298686,201977.3771005884,26928.48156585896,1096076.1307604297,earthquake
Acapulco,Mexico,Latin-America,16.835825834203092,-99.87665273945912,741586286.403381,19736.81614541175,9725.155297144744,0.0,70778.76861947426,earthquake
Aden,Yemen,Middle-East,12.804423036346144,44.95385819790221,4941006685.31741,260511.75444873795,72912.08795673714,0.0,1037411.4228334652,earthquake
Agadir,Morocco,Africa,30.423327619276023,-9.640954132616516,2812735390.14828,37308.14171355995,0.0,0.0,343082.50253934925,earthquake
Ahus,Sweden,Northern-Europe,55.9281476828496,14.323414129865048,1228976.6093200515,463.41125933638585,0.0,0.0,0.0,earthquake
Aiyion,Greece,Mediterranean,38.33475387391774,21.846493838096944,685651.6495234759,490436.0709565932,444733.7292555656,113144.0124691808,945190.092566531,earthquake
Ajman,United Arab Emirates,Middle-East,25.42311078880692,55.45156842093279,3279964.2813337897,10499.346083658775,2400.1222161913856,0.0,41647.19263311992,earthquake
Akita-Funakawa Ko,Japan,Asia,39.7625318482917,140.0525074687916,1812829464.9344404,469060.2786356301,377633.5788934509,56475.30640983209,1264913.2071773494,earthquake
Ako,Japan,Asia,34.738439552888686,134.375873722863,206741183.9550199,224437.0555048502,145112.46315509884,0.0,620489.8266582959,earthquake
Akureyri,Iceland,Northern-Europe,65.69586227498087,-18.07839303021677,864282098.09298,75001.34130453729,40042.873935545555,1507.8702874111268,263219.08556683006,earthquake
Al Ahmadi,Yemen,Middle-East,14.861116019377846,42.93012040605359,2685093055.1485147,94073.64935912819,30540.694608638885,0.0,368342.83398770005,earthquake
Al Aqabah,Jordan,Middle-East,29.45247434218913,34.98133433410047,18087103759.731583,922453.3305741685,500505.6173961472,47719.51761553271,2888430.856985595,earthquake
Al Basrah,Iraq,Middle-East,30.525046506746936,47.841177870216015,3401004.423212985,393.8681452069913,0.0,0.0,2805.4220906869846,earthquake
Al Burayqah,Libya,Africa,30.41461514978097,19.594087391156314,972980216.8202348,12153.30541008465,0.0,0.0,50155.31003165718,earthquake
Al Hamriyah LPG Terminal,United Arab Emirates,Middle-East,25.47263067270494,55.49724762578011,5027992390.727257,222707.24248814382,50563.947847045376,0.0,922258.29739916,earthquake
Al Iskandariyh (Alexandria),Egypt,Africa,31.163581730234423,29.836444842191625,32152063143.83327,76864.052368664,0.0,0.0,757979.2086264566,earthquake
Al Jubayl,Saudi Arabia,Middle-East,27.049542718233543,49.68607374636832,39747662884.48353,99170.56051181052,0.0,0.0,856064.0010272595,earthquake
Al Kuwayt,Kuwait,Middle-East,29.35477517146509,47.93272475961702,10114731531.607786,30900.172473853338,0.0,0.0,152338.74289020477,earthquake
Al Ladhiqiyah,Syria,Middle-East,35.530274738611745,35.76567246143961,4213954360.5244513,76542.81263651191,31717.01829447899,0.0,301036.85977049154,earthquake
Al Mukalla,Yemen,Middle-East,14.521045723797029,49.15314874529035,533232089.179051,1094.662018519824,0.0,0.0,6117.532992350963,earthquake
Albany,Australia,Australia,-35.04071054851423,117.89734746911876,1238921126.939451,1936.1779564138394,0.0,0.0,16490.16916702466,earthquake
Alborg,Denmark,Northern-Europe,57.05683243550648,9.94930922442777,2496801387.791015,4117.584135719847,0.0,0.0,0.0,earthquake
Alesund,Norway,Northern-Europe,62.471533880838486,6.167929515082579,650648699.8305849,1938.742568643762,0.0,0.0,16178.034537909924,earthquake
Algeciras,Spain,Mediterranean,36.15680617658855,-5.419140859532775,25441103317.038124,478766.7615782733,0.0,0.0,2308153.7279249183,earthquake
Alger,Algeria,Africa,36.76863601010422,3.069702610231199,7932577483.047757,84187.53036205978,15963.79790589117,0.0,371911.1809256259,earthquake
Aliaga,Turkey,Mediterranean,38.81915416572643,26.9508709797542,2157796430.384777,4047147.474387237,2718033.607380804,0.0,11290819.272450382,earthquake
Alicante,Spain,Mediterranean,38.33102466328418,-0.492673759427888,667637959.2422917,20690.515191710212,0.0,0.0,131226.05222235768,earthquake
Almeria,Spain,Mediterranean,36.8312669051332,-2.471662890355661,911564206.553674,21474.113605187453,3554.470413207603,0.0,91640.80023808236,earthquake
Alofi,Niue,Oceania,-19.045917512159544,-169.9314607121994,5719887.846545455,39.161864385740124,0.0,0.0,284.0660687110184,earthquake
Alotoa,Papua New Guinea,Oceania,-10.323492598056571,150.44893588107448,309763689.31365794,15460.443157034855,9407.646995928599,0.0,46085.97601381298,earthquake
Altamira,Mexico,Latin-America,22.47789806882248,-97.86425293390072,22085649610.391617,10864.161638076575,0.0,0.0,42665.743862829426,earthquake
Alvika,Norway,Northern-Europe,62.47958124215767,6.372233511680491,218626.87322290745,0.0,0.0,0.0,0.0,earthquake
Amagasaki,Japan,Asia,34.70276468297633,135.37510434911374,317121650.0982444,226554.5718436054,151862.17056124628,0.0,633572.653226549,earthquake
Amamapare,Indonesia,Asia,-4.828913650412673,136.79364632803905,662808457.3175908,39900.667182407844,72.97928077454443,0.0,162954.29413190688,earthquake
Ambon,Indonesia,Asia,-3.677804133548224,128.17258833590975,417226567.78222567,64519.18573710646,51469.62871726899,8066.241997760792,170294.28976405633,earthquake
