port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Abbot Point,Australia,Australia,-19.86347273048479,148.08574855224262,3681314199.888782,82738.95897192029,76551.23826421113,10017.37099438379,184852.0849836,fluvial
Abenra,Denmark,Northern-Europe,55.03613674896311,9.4328687515463,8376747.406295406,20141.006126859786,17054.775521422976,182.49670914504867,50932.286468843406,fluvial
Aberdeen,U.S.A.,North-America,46.95740684544593,-123.84900253523408,1483769822.226669,165884.6349539072,166713.85222169218,109981.17860564082,229448.9239966128,fluvial
Aberdeen,United Kingdom,Western-Europe,57.13970754858299,-2.071933161301114,4004148945.548536,478328.141504321,456353.9845805757,249833.8225467901,774914.6320248515,fluvial
Abidjan,Cote d'Ivoire,Africa,5.281131862318626,-4.02121100946266,12251324078.81066,5350313.406044314,5354452.421696611,3463197.5351705295,7328894.603077268,fluvial
Abu Zaby,United Arab Emirates,Middle-East,24.50828406031388,54.49529187527073,29610651831.43484,85112.12252616046,54527.42875099674,22567.628269261822,220500.25215617375,fluvial
Acajutla,El Salvador,Latin-America,13.576548729013748,-89.836482133761,5253653122.459703,16365.42403868319,13059.845702714836,550.6850020683045,42604.20147384629,fluvial
Acapulco,Mexico,Latin-America,16.835825834203092,-99.87665273945912,741586286.403381,71.1910522159042,55.8328935747591,0.0,219.9363091784068,fluvial
Aden,Yemen,Middle-East,12.804423036346144,44.95385819790221,4941006685.31741,10607.869578970993,10149.435773604266,4705.880737033016,17649.84111374448,fluvial
Agadir,Morocco,Africa,30.423327619276023,-9.640954132616516,2812735390.14828,79.17087699309796,14.823782534582621,0.0,242.84065650082263,fluvial
Ahus,Sweden,Northern-Europe,55.9281476828496,14.323414129865048,1228976.6093200515,39717.15429921518,34799.92573930697,6383.155005539743,87154.31492624673,fluvial
Aiyion,Greece,Mediterranean,38.33475387391774,21.846493838096944,685651.6495234759,2201.0981142460582,1341.895581214445,0.0,6320.365882774448,fluvial
Ajman,United Arab Emirates,Middle-East,25.42311078880692,55.45156842093279,3279964.2813337897,5859.820993300883,3493.4945515983154,13.942785386096766,16694.820097183656,fluvial
Akita-Funakawa Ko,Japan,Asia,39.7625318482917,140.0525074687916,1812829464.9344404,130778.73111363317,126318.96454688917,55833.17086201919,216610.7322059676,fluvial
Ako,Japan,Asia,34.738439552888686,134.375873722863,206741183.9550199,9526.898546438324,8809.580789374188,2846.6718627233886,18366.72248764297,fluvial
Akureyri,Iceland,Northern-Europe,65.69586227498087,-18.07839303021677,864282098.09298,9454.434836142857,6490.389111146376,0.0,28419.79808188886,fluvial
Al Ahmadi,Yemen,Middle-East,14.861116019377846,42.93012040605359,2685093055.1485147,92388.40535106904,88399.52807716237,62971.643370081445,131785.97239669668,fluvial
Al Aqabah,Jordan,Middle-East,29.45247434218913,34.98133433410047,18087103759.731583,0.0,0.0,0.0,0.0,fluvial
Al Basrah,Iraq,Middle-East,30.525046506746936,47.841177870216015,3401004.423212985,548126.7262851291,501368.2118637641,187627.91349104393,1002681.2076497067,fluvial
Al Burayqah,Libya,Africa,30.41461514978097,19.594087391156314,972980216.8202348,36.8918365818073,26.49197630461055,0.0,129.35344113405623,fluvial
Al Hamriyah LPG Terminal,United Arab Emirates,Middle-East,25.47263067270494,55.49724762578011,5027992390.727257,11585.132349607584,8622.407005102585,0.0,29337.240107154594,fluvial
Al Iskandariyh (Alexandria),Egypt,Africa,31.163581730234423,29.836444842191625,32152063143.83327,19754.144209522437,17763.005315848124,9452.634410170696,35777.86763492927,fluvial
Al Jubayl,Saudi Arabia,Middle-East,27.049542718233543,49.68607374636832,39747662884.48353,13948.742168475068,7661.853077425741,0.0,40041.38748735209,fluvial
Al Kuwayt,Kuwait,Middle-East,29.35477517146509,47.93272475961702,10114731531.607786,29562.01050781102,29432.955283628,9415.966895295443,58708.33140088599,fluvial
Al Ladhiqiyah,Syria,Middle-East,35.530274738611745,35.76567246143961,4213954360.5244513,47499.586267843864,44469.062790251046,686.8786963022119,108739.7784772443,fluvial
Al Mukalla,Yemen,Middle-East,14.521045723797029,49.15314874529035,533232089.179051,0.0,0.0,0.0,0.0,fluvial
Albany,Australia,Australia,-35.04071054851423,117.89734746911876,1238921126.939451,0.0,0.0,0.0,0.0,fluvial
Alborg,Denmark,Northern-Europe,57.05683243550648,9.94930922442777,2496801387.791015,1794930.050053631,1679118.0199869722,519066.60728607996,3382214.1050996464,fluvial
Alesund,Norway,Northern-Europe,62.471533880838486,6.167929515082579,650648699.8305849,0.0,0.0,0.0,0.0,fluvial
Algeciras,Spain,Mediterranean,36.15680617658855,-5.419140859532775,25441103317.038124,1117698.6748834262,959851.5369195006,269791.0676487017,2327161.5418827273,fluvial
Alger,Algeria,Africa,36.76863601010422,3.069702610231199,7932577483.047757,71628.0946921147,57834.64050322915,1861.4603081354855,178418.30409562413,fluvial
Aliaga,Turkey,Mediterranean,38.81915416572643,26.9508709797542,2157796430.384777,648657.8162981251,462843.1895061713,3374.337458103162,1754070.2497080115,fluvial
Alicante,Spain,Mediterranean,38.33102466328418,-0.492673759427888,667637959.2422917,548772.1207225625,488857.98605033546,59640.519213130414,1272879.4449260763,fluvial
Almeria,Spain,Mediterranean,36.8312669051332,-2.471662890355661,911564206.553674,51959.37279292306,42328.21854787661,3309.7801523253906,126765.32629626514,fluvial
Alofi,Niue,Oceania,-19.045917512159544,-169.9314607121994,5719887.846545455,0.0,0.0,0.0,0.0,fluvial
Alotoa,Papua New Guinea,Oceania,-10.323492598056571,150.44893588107448,309763689.31365794,141196.7766797615,119751.21116349995,6532.809096544949,324167.84276323474,fluvial
Altamira,Mexico,Latin-America,22.47789806882248,-97.86425293390072,22085649610.391617,99489.8186071331,98711.7160746168,70569.0904800219,132023.66506973162,fluvial
Alvika,Norway,Northern-Europe,62.47958124215767,6.372233511680491,218626.87322290745,0.0,0.0,0.0,0.0,fluvial
Amagasaki,Japan,Asia,34.70276468297633,135.37510434911374,317121650.0982444,1721116.0951997621,1714297.0940058029,1326655.660255606,2136283.1038189568,fluvial
Amamapare,Indonesia,Asia,-4.828913650412673,136.79364632803905,662808457.3175908,27.20110453462521,22.38818616479962,3.5824061539302336,63.566584252596606,fluvial
Ambon,Indonesia,Asia,-3.677804133548224,128.17258833590975,417226567.78222567,3784.4802062915924,2879.9932282927516,14.399145663135037,11640.361821211292,fluvial
Amirabad Port,Iran,Asia,36.85191614327005,53.36607710789007,15911487.995695485,0.0,0.0,0.0,0.0,fluvial
Ampenan,Indonesia,Asia,-8.64982866652913,116.07102392646912,175035700.00393194,43348.94431860133,42845.90641166792,23578.382925678037,66421.38806407955,fluvial
Amsterdam,Netherlands,Western-Europe,52.408850320974935,4.824715861290412,33905925421.56444,0.0,0.0,0.0,0.0,fluvial
Amuay (Bahia De Amuay),Venezuela,Latin-America,11.746846102434429,-70.21196939062459,11271666455.84422,0.0,0.0,0.0,0.0,fluvial
Anacortes,Canada,North-America,48.49766558025696,-122.62248121594436,889593525.2858313,0.0,0.0,0.0,0.0,fluvial
Anchorage,U.S.A.,North-America,61.22897250382256,-149.8893491982097,3431892225.7809067,93174.284192716,85891.96262219395,25541.41015568003,191494.64886035328,fluvial
Ancona,Italy,Mediterranean,43.62001646217766,13.497957350802947,1243285481.488943,4268248.489484888,4275890.614628855,2241096.014804628,6762929.7921859,fluvial
Andoany,Madagascar,Africa,-13.40744670519499,48.21314482326535,37700.32351422368,0.0,0.0,0.0,0.0,fluvial
Andres (Andres LGN Terminal),Dominican Republic,Caribbean,18.42278739397424,-69.6286454000977,7434021582.144222,0.0,0.0,0.0,0.0,fluvial
Annaba,Algeria,Africa,36.8999738698482,7.769912035739972,4565290532.101742,27477.667065547404,15072.810507542325,0.0,81008.1358957364,fluvial
Antalya,Turkey,Mediterranean,36.82086688795925,30.60841462171911,838690972.7447922,62168.06959664417,56633.69623983317,22293.93880309911,120378.9303492556,fluvial
Antisranana,Madagascar,Africa,-12.269448629345638,49.28752977849002,428251325.99361,0.0,0.0,0.0,0.0,fluvial
