port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Abbot Point,Australia,Australia,-19.86347273048479,148.08574855224262,3681314199.888782,15570.11390859591,6888.099122572856,0.0,65143.417860338945,operational
Abenra,Denmark,Northern-Europe,55.03613674896311,9.4328687515463,8376747.406295406,0.0,0.0,0.0,0.0,operational
Aberdeen,U.S.A.,North-America,46.95740684544593,-123.84900253523408,1483769822.226669,2086.717657358759,808.1258701906961,76.19037890814664,8600.43792743576,operational
Aberdeen,United Kingdom,Western-Europe,57.13970754858299,-2.071933161301114,4004148945.548536,14059.646668241858,4805.165596087814,0.0,51035.94397590492,operational
Abidjan,Cote d'Ivoire,Africa,5.281131862318626,-4.02121100946266,12251324078.81066,0.0,0.0,0.0,0.0,operational
Abu Zaby,United Arab Emirates,Middle-East,24.50828406031388,54.49529187527073,29610651831.43484,200.98628600667658,0.0,0.0,0.0,operational
Acajutla,El Salvador,Latin-America,13.576548729013748,-89.836482133761,5253653122.459703,3683.059666656332,0.0,0.0,20451.94184994498,operational
Acapulco,Mexico,Latin-America,16.835825834203092,-99.87665273945912,741586286.403381,0.0,0.0,0.0,0.0,operational
Aden,Yemen,Middle-East,12.804423036346144,44.95385819790221,4941006685.31741,0.0,0.0,0.0,0.0,operational
Agadir,Morocco,Africa,30.423327619276023,-9.640954132616516,2812735390.14828,64320.113837036246,42354.82746240904,4328.327308368659,189128.7119713912,operational
Ahus,Sweden,Northern-Europe,55.9281476828496,14.323414129865048,1228976.6093200515,0.1970655016565592,0.0,0.0,0.928084083948415,operational
Aiyion,Greece,Mediterranean,38.33475387391774,21.846493838096944,685651.6495234759,0.9407602448259867,0.2509685905765265,0.0153200621087757,3.908617497949283,operational
Ajman,United Arab Emirates,Middle-East,25.42311078880692,55.45156842093279,3279964.2813337897,10.077062018991185,0.0,0.0,61.65392783114192,operational
Akita-Funakawa Ko,Japan,Asia,39.7625318482917,140.0525074687916,1812829464.9344404,803725.4376196245,333625.94400450785,41867.14478233889,3143551.20392678,operational
Ako,Japan,Asia,34.738439552888686,134.375873722863,206741183.9550199,0.0,0.0,0.0,0.0,operational
Akureyri,Iceland,Northern-Europe,65.69586227498087,-18.07839303021677,864282098.09298,0.0,0.0,0.0,0.0,operational
Al Ahmadi,Yemen,Middle-East,14.861116019377846,42.93012040605359,2685093055.1485147,0.0,0.0,0.0,0.0,operational
Al Aqabah,Jordan,Middle-East,29.45247434218913,34.98133433410047,18087103759.731583,0.0,0.0,0.0,0.0,operational
