port_name,country,continent,lat,lon,freight_total,risk_mean,risk_median,risk_low,risk_high,hazard
Abbot Point,Australia,Australia,-19.86347273048479,148.08574855224262,3681314199.888782,346761.05356659944,279496.4225059573,38125.73244028314,862401.1890276306,pluvial
Abenra,Denmark,Northern-Europe,55.03613674896311,9.4328687515463,8376747.406295406,0.0,0.0,0.0,0.0,pluvial
Aberdeen,U.S.A.,North-America,46.95740684544593,-123.84900253523408,1483769822.226669,5577.72109317786,4038.954533380482,861.095660233033,14117.36932284585,pluvial
Aberdeen,United Kingdom,Western-Europe,57.13970754858299,-2.071933161301114,4004148945.548536,18956.696909048656,13052.421845739827,430.7864784264216,52592.65938884364,pluvial
Abidjan,Cote d'Ivoire,Africa,5.281131862318626,-4.02121100946266,12251324078.81066,18680.108414817965,9416.22672480186,1685.3349711472335,49545.81718490035,pluvial
Abu Zaby,United Arab Emirates,Middle-East,24.50828406031388,54.49529187527073,29610651831.43484,524199.81256969564,448652.9486990508,158621.5613013113,1109397.3289943647,pluvial
Acajutla,El Salvador,Latin-America,13.576548729013748,-89.836482133761,5253653122.459703,25296.134276232966,9864.610899744635,0.0,72819.80032637104,pluvial
Acapulco,Mexico,Latin-America,16.835825834203092,-99.87665273945912,741586286.403381,8097.555058980791,5222.42782623506,444.0212682801563,22494.901554005864,pluvial
Aden,Yemen,Middle-East,12.804423036346144,44.95385819790221,4941006685.31741,26344.52155476241,15164.059120529128,216.47881137025396,75646.56352003226,pluvial
Agadir,Morocco,Africa,30.423327619276023,-9.640954132616516,2812735390.14828,0.0,0.0,0.0,0.0,pluvial
Ahus,Sweden,Northern-Europe,55.9281476828496,14.323414129865048,1228976.6093200515,151.23494313708855,105.59417304156506,0.0,467.4331473188927,pluvial
Aiyion,Greece,Mediterranean,38.33475387391774,21.846493838096944,685651.6495234759,1519.8640145497288,1076.8333071470688,0.0,4498.724100287382,pluvial
Ajman,United Arab Emirates,Middle-East,25.42311078880692,55.45156842093279,3279964.2813337897,336.5428507065281,137.81079148077933,0.0,1153.146340634468,pluvial
Akita-Funakawa Ko,Japan,Asia,39.7625318482917,140.0525074687916,1812829464.9344404,13824.913160468615,10240.381217748549,1086.6182301892743,35184.84520616234,pluvial
Ako,Japan,Asia,34.738439552888686,134.375873722863,206741183.9550199,10293.01172478107,8914.193895787515,983.4923843285059,23145.768817216103,pluvial
Akureyri,Iceland,Northern-Europe,65.69586227498087,-18.07839303021677,864282098.09298,19.190994210282437,0.0,0.0,67.08171943876718,pluvial
Al Ahmadi,Yemen,Middle-East,14.861116019377846,42.93012040605359,2685093055.1485147,59505.40878884786,44236.557191735024,28517.927424786827,121858.94235536628,pluvial
Al Aqabah,Jordan,Middle-East,29.45247434218913,34.98133433410047,18087103759.731583,0.0,0.0,0.0,0.0,pluvial
Al Basrah,Iraq,Middle-East,30.525046506746936,47.841177870216015,3401004.423212985,3154.546519444205,7.936408440785364,0.0,10337.174487364498,pluvial
Al Burayqah,Libya,Africa,30.41461514978097,19.594087391156314,972980216.8202348,6993.394192774824,3930.5048449740934,1720.0219853700528,19066.49233170381,pluvial
Al Hamriyah LPG Terminal,United Arab Emirates,Middle-East,25.47263067270494,55.49724762578011,5027992390.727257,112528.32549423291,96068.13129226252,45135.29250163273,217342.1504915197,pluvial
Al Iskandariyh (Alexandria),Egypt,Africa,31.163581730234423,29.836444842191625,32152063143.83327,95277.80783173203,75838.70200315768,34762.87755278,194036.8269052229,pluvial
Al Jubayl,Saudi Arabia,Middle-East,27.049542718233543,49.68607374636832,39747662884.48353,59628.56303114601,42771.80636488751,14865.195896169676,131609.12580971423,pluvial
Al Kuwayt,Kuwait,Middle-East,29.35477517146509,47.93272475961702,10114731531.607786,15495.356102373304,14447.7364076471,8370.58187768206,26016.91835022985,pluvial
Al Ladhiqiyah,Syria,Middle-East,35.530274738611745,35.76567246143961,4213954360.5244513,311188.20786146657,274064.80656746845,0.0,859494.0731571512,pluvial
Al Mukalla,Yemen,Middle-East,14.521045723797029,49.15314874529035,533232089.179051,0.0,0.0,0.0,0.0,pluvial
Albany,Australia,Australia,-35.04071054851423,117.89734746911876,1238921126.939451,0.0,0.0,0.0,0.0,pluvial
Alborg,Denmark,Northern-Europe,57.05683243550648,9.94930922442777,2496801387.791015,203097.73478755853,185758.57608890894,52848.28831024892,403040.78097314615,pluvial
Alesund,Norway,Northern-Europe,62.471533880838486,6.167929515082579,650648699.8305849,2013.2491834931095,1509.1226647006945,0.0,4968.378510925179,pluvial
Algeciras,Spain,Mediterranean,36.15680617658855,-5.419140859532775,25441103317.038124,218781.6636308012,133505.91959662887,41248.75834717872,563723.6676033324,pluvial
Alger,Algeria,Africa,36.76863601010422,3.069702610231199,7932577483.047757,16869.63340155083,2653.895486397459,0.0,51671.02759381319,pluvial
Aliaga,Turkey,Mediterranean,38.81915416572643,26.9508709797542,2157796430.384777,395366.1264814316,221479.0037507504,3128.30993016252,1156115.530888078,pluvial
Alicante,Spain,Mediterranean,38.33102466328418,-0.492673759427888,667637959.2422917,8885.112250956445,2961.005067684474,0.0,27892.608945687454,pluvial
Almeria,Spain,Mediterranean,36.8312669051332,-2.471662890355661,911564206.553674,18375.346515848887,14385.94722388756,0.0,49945.8409141061,pluvial
Alofi,Niue,Oceania,-19.045917512159544,-169.9314607121994,5719887.846545455,0.0,0.0,0.0,0.0,pluvial
Alotoa,Papua New Guinea,Oceania,-10.323492598056571,150.44893588107448,309763689.31365794,0.0,0.0,0.0,0.0,pluvial
Altamira,Mexico,Latin-America,22.47789806882248,-97.86425293390072,22085649610.391617,92542.33136888607,32924.00861107982,0.0,294897.4319841492,pluvial
Alvika,Norway,Northern-Europe,62.47958124215767,6.372233511680491,218626.87322290745,0.0,0.0,0.0,0.0,pluvial
Amagasaki,Japan,Asia,34.70276468297633,135.37510434911374,317121650.0982444,210551.67381273105,163887.59704725727,35269.64774289382,518904.1913982229,pluvial
Amamapare,Indonesia,Asia,-4.828913650412673,136.79364632803905,662808457.3175908,15095.041139070241,46.85564920822915,0.0,64540.22199463885,pluvial
Ambon,Indonesia,Asia,-3.677804133548224,128.17258833590975,417226567.78222567,9612.592303103169,2912.14852029104,0.0,31762.27965669791,pluvial
Amirabad Port,Iran,Asia,36.85191614327005,53.36607710789007,15911487.995695485,0.0,0.0,0.0,0.0,pluvial
Ampenan,Indonesia,Asia,-8.64982866652913,116.07102392646912,175035700.00393194,43197.35313999426,34858.81349310638,6300.928341624691,94733.34999354465,pluvial
Amsterdam,Netherlands,Western-Europe,52.408850320974935,4.824715861290412,33905925421.56444,7770692.665945213,7083214.43575292,2383243.521763018,14791248.29581685,pluvial
Amuay (Bahia De Amuay),Venezuela,Latin-America,11.746846102434429,-70.21196939062459,11271666455.84422,674812.2586783551,634493.6389779939,265759.3817125696,1187789.7951452727,pluvial
Anacortes,Canada,North-America,48.49766558025696,-122.62248121594436,889593525.2858313,0.0,0.0,0.0,0.0,pluvial
Anchorage,U.S.A.,North-America,61.22897250382256,-149.8893491982097,3431892225.7809067,332680.38860830665,293453.9088440464,3024.6396399067085,967212.07028853,pluvial
Ancona,Italy,Mediterranean,43.62001646217766,13.497957350802947,1243285481.488943,121140.36701193984,104351.33939254485,14595.19525628056,283126.9818976083,pluvial
Andoany,Madagascar,Africa,-13.40744670519499,48.21314482326535,37700.32351422368,0.0,0.0,0.0,0.0,pluvial
Andres (Andres LGN Terminal),Dominican Republic,Caribbean,18.42278739397424,-69.6286454000977,7434021582.144222,25818.657651974638,14810.143650744356,0.0,72769.75399663139,pluvial
Annaba,Algeria,Africa,36.8999738698482,7.769912035739972,4565290532.101742,2768.2075658345475,1024.9844567031546,0.0,8910.071163280663,pluvial
Antalya,Turkey,Mediterranean,36.82086688795925,30.60841462171911,838690972.7447922,18019.47808478525,16340.671988420498,2733.9908564835646,37454.16438017992,pluvial
Antisranana,Madagascar,Africa,-12.269448629345638,49.28752977849002,428251325.99361,0.0,0.0,0.0,0.0,pluvial
Antofagasta,Chile,Latin-America,-23.690515601148523,-70.4277708362286,8164138853.182,41423.90301549208,34883.790029927644,0.0,106463.57623870418,pluvial
Antwerp,Belgium,Western-Europe,51.28517270388428,4.312566811382544,115801785370.07748,16924075.534862515,15457380.569348939,4381560.964781629,33490442.19908993,pluvial
Anzali Port,Iran,Asia,37.472415563989685,49.51831947409697,5101531.441319667,0.0,0.0,0.0,0.0,pluvial
Aomori Ko,Japan,Asia,40.84280648271751,140.77663948024073,635919965.2538658,21019.180233364124,18785.816457135046,9557.783747641646,36783.51019661578,pluvial
Apia,Samoa,Oceania,-13.82377114280151,-171.7595182953345,391896339.8907684,0.0,0.0,0.0,0.0,pluvial
Apra Harbor,Guam,Oceania,13.451923370457695,144.66149072700182,257367558.6513731,0.0,0.0,0.0,0.0,pluvial
Aratu,Brazil,Latin-America,-12.785419158180956,-38.48840818290625,7025825560.652357,78638.33799477457,61270.305549897304,18543.1356291368,175451.61925602573,pluvial
Arawak,Barbados,Caribbean,13.28334360715044,-59.65110700153258,5335060.411270547,74.55544688454731,2.4953773525091254,0.0,262.41034693903663,pluvial
